solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper
1.63572E+18,Gaia DR2 1000225938242805248,1.00023E+18,1197051105,2015.5,103.447529,0.04109942,56.02202543,0.045174524,0.582790372,0.070328485,8.286691,6.040460983,0.083935977,5.055291338,0.073138022,0.13175297,-0.12289995,0.040914085,-0.1964128,-0.44934282,-0.34763324,0.32765764,0.55818826,0.08969126,0.23928146,184,0,181,3,0.40449554,183.0135,0.074690261,0.383031617,31,false,10.234882,1.59291174,0.011422152,-0.099905536,21,10,0.08920107,0,22,false,189,9268.427339,4.984548706,1859.4316,15.77085,21,4965.923791,15.25197232,325.59222,16.111387,21,6233.60069,12.57314064,495.78708,15.275072,1.2083522,0,0.83631516,0.34053707,0.49577808,,,0,,,,NOT_AVAILABLE,160.1634751,22.53393179,98.91488373,32.99815241,100001,5807,5767.5,5828,0.1205,0.017,0.2821,0.0595,0.008,0.1351,200111,1.0247303,1.0173589,1.0388145,1.0757744,0.8017981,1.3497508
1.63572E+18,Gaia DR2 1000383512003001728,1.00038E+18,598525552,2015.5,105.1878559,0.016977551,56.2679821,0.016903764,1.385686196,0.023642841,58.609123,22.89788131,0.034349789,-9.885236976,0.032496392,0.14754432,-0.018016009,0.025317088,-0.102978066,-0.16385816,-0.082461886,0.30867794,0.3687988,0.08585117,0.3805992,186,0,185,1,-1.7370577,148.42531,0,0,31,true,120.73727,1.596343146,0.004263173,-0.06699354,21,11,0.045131087,0,23,false,202,94231.47358,23.57756407,3996.6587,13.252875,20,50135.2622,71.5707474,700.4993,13.60103,19,64273.13486,53.45034469,1202.483,12.741846,1.2141209,0,0.85918427,0.34815502,0.51102924,,,0,,,,NOT_AVAILABLE,160.1743464,23.53408699,100.0306512,33.35634113,100001,5779,5649.5,5947.4873,0.5583,0.1969,0.8191,0.243,0.083,0.403,200111,1.3887109,1.3111433,1.4531057,1.9378902,1.8524396,2.0233407
1.63572E+18,Gaia DR2 1000274106300491264,1.00027E+18,299262776,2015.5,103.4247581,0.464607858,56.45090293,0.582489844,0.314034681,0.894673905,0.35100463,-4.52130422,0.789254758,-5.54787899,0.674681417,0.58187467,-0.5039091,-0.058437377,0.29087126,-0.76784647,-0.29065016,0.40313807,0.5471358,-0.18813604,0.25174227,195,0,194,1,1.0383844,209.20168,0.712599497,0.420175769,31,false,0.08765993,1.62820125,0.110597236,-0.07951875,22,12,0.9518703,0,23,false,203,214.1208445,1.045547349,204.79306,19.86172,21,57.23838701,6.706502845,8.5347595,20.95717,21,235.770113,5.291044212,44.560223,18.830698,1.3684258,0,2.1264725,1.0954514,1.0310211,,,0,,,,NOT_AVAILABLE,159.7121103,22.63598853,98.84322131,33.42300676,,,,,,,,,,,,,,,,,
1.63572E+18,Gaia DR2 1000396156385741312,1.0004E+18,1148557518,2015.5,105.0497507,0.838232226,56.50877738,0.744510829,1.939950723,1.159565641,1.6729977,-2.566329378,1.479208222,1.834169145,1.244357914,-0.09151449,0.235871,-0.2695473,0.053561386,-0.5030057,-0.117959484,0.001233796,0.39122865,0.2810297,0.33335862,129,0,129,0,0.85160655,137.18605,0,0,31,false,0.03363811,0.997650039,0.207852846,-0.25328392,15,8,1.4714875,0,16,false,137,117.648894,1.167200364,100.7958,20.511896,13,43.5484333,7.839745311,5.5548277,21.253958,14,159.0093003,11.65948096,13.637769,19.258364,1.7217139,0,1.995594,0.7420616,1.2535324,,,0,,,,NOT_AVAILABLE,159.8993238,23.51855395,99.90381207,33.58575833,,,,,,,,,,,,,,,,,
1.63572E+18,Gaia DR2 1000250024419296000,1.00025E+18,574278759,2015.5,103.3525249,0.023159488,56.39514381,0.022835972,0.747107553,0.036400752,20.52451,5.426702338,0.045411299,-3.468109399,0.037408013,0.24057312,-0.11131603,-0.012407936,0.02638851,-0.36644787,-0.15387154,0.15846756,0.5543776,0.17910668,0.33852795,188,0,186,2,-2.6570694,134.45885,0,0,31,false,42.597908,1.621749296,0.006686583,-0.07543224,22,12,0.05301447,0,23,false,194,34481.0656,9.86814261,3494.18,14.344414,23,18920.65995,33.11330958,571.3914,14.659047,23,22720.34927,19.12278408,1188.1298,13.870882,1.2076485,0,0.7881651,0.31463337,0.47353172,,,0,,,,NOT_AVAILABLE,159.7588385,22.58265744,98.80303284,33.36318082,100001,5867,5805.25,6013,0.565,0.252,0.8141,0.287,0.1196,0.4051,200111,1.5079575,1.4356179,1.5402082,2.4273772,2.1525965,2.702158
1.63572E+18,Gaia DR2 1000176013542934016,1.00018E+18,1217311513,2015.5,101.9297907,0.019757906,55.97333308,0.019437183,0.631717687,0.028703343,22.008505,4.884635485,0.040825346,-6.415440678,0.033051047,0.32065144,-0.005510678,-0.09777943,-0.30666587,-0.33231118,-0.42129698,-0.058250215,0.53396624,0.20629586,0.41366032,235,0,234,1,-2.361722,181.51265,0,0,31,false,56.992233,1.591031934,0.004885639,0.030500615,27,13,0.051294096,0,27,false,235,45075.43617,10.2563191,4394.894,14.053515,23,23582.52759,24.8146501,950.347,14.419912,24,31102.63623,29.78071735,1044.3884,13.529927,1.2131921,1,0.8899851,0.3663969,0.5235882,,,0,,,,NOT_AVAILABLE,159.9596189,21.70503502,97.91520716,32.86137424,100002,5601,5501.033,5833,,,,,,,200111,2.257428,2.0814266,2.340219,4.518401,4.014795,5.0220075
1.63572E+18,Gaia DR2 1000183881922152704,1.00018E+18,1378069702,2015.5,101.8539258,0.769376541,56.12931976,0.691154708,0.567415045,0.966014179,0.58737755,-6.713582943,1.554292115,-7.883647884,1.144035856,0.4015007,-0.03951539,-0.37361276,-0.21530229,-0.4584422,-0.36550763,-0.2930277,0.482058,0.1825236,0.566238,173,0,173,0,0.68544686,180.18086,0,0,31,false,0.033562277,1.403677118,0.191678014,0.03310959,20,11,1.6156527,0,20,false,171,117.4928039,0.984140011,119.38627,20.513338,15,49.39212975,9.464051813,5.21892,21.117245,17,149.1322116,8.266587484,18.04036,19.327991,1.6896724,0,1.7892532,0.60390663,1.1853466,,,0,,,,NOT_AVAILABLE,159.7857046,21.709303,97.84681578,33.01247738,,,,,,,,,,,,,,,,,
1.63572E+18,Gaia DR2 1000383408923789568,1.00038E+18,1418259249,2015.5,105.1288496,0.053667488,56.28508092,0.051921724,0.422394065,0.074128691,5.6981187,-0.059110923,0.105557286,-9.596908507,0.094668873,0.14161837,-0.17049772,0.05292726,-0.110647015,-0.2900058,-0.17023432,0.2509659,0.33396372,-0.014628356,0.28673542,194,0,194,0,-0.48598602,179.06407,0,0,31,false,4.526907,1.54255234,0.01406763,-0.08788723,22,12,0.106572114,0,24,false,209,4197.737962,2.965926826,1415.3208,16.630827,21,2088.838296,10.19684313,204.85147,17.051626,20,3044.455687,10.99644585,276.85815,16.053146,1.2228714,0,0.99847984,0.42079926,0.5776806,,,0,,,,NOT_AVAILABLE,160.1475533,23.5064825,99.98918371,33.36922708,100001,5333.5,5319.5,5691.0425,,,,,,,,,,,,,
1.63572E+18,Gaia DR2 1000284139343326080,1.00028E+18,983844697,2015.5,103.3963296,0.392397261,56.7144103,0.374188949,0.559431809,0.545776434,1.0250201,1.975176181,0.736618632,-1.712405599,0.623206427,0.33985397,-0.30792755,-0.057573996,-0.002959177,-0.4509778,-0.19833696,0.006187379,0.42612877,0.011857484,0.33257028,187,0,185,2,12.985269,554.47314,2.493729619,14.59722124,31,false,0.09291941,1.633469847,0.113312957,0.028354075,22,12,0.724186,0,22,false,186,439.2256376,2.261991479,194.17653,19.081646,17,204.5509191,7.323400953,27.931137,19.574385,16,384.0652732,9.325365356,41.18501,18.300907,1.3401226,0,1.2734776,0.49273872,0.78073883,,,0,,,,NOT_AVAILABLE,159.4322295,22.69055945,98.78954683,33.68316136,,,,,,,,,,,,,,,,,
1.63572E+18,Gaia DR2 1000175081534243200,1.00018E+18,1319702998,2015.5,101.7804373,0.301240186,55.94533326,0.322372861,-0.709396658,0.512900202,-1.3831085,1.349396279,0.64992425,-1.957326457,0.466312365,0.21488778,-0.08191406,0.15901269,-0.19038938,-0.5575866,-0.4655601,0.19027826,0.6356252,0.1495975,0.21737841,237,0,237,0,1.0734736,255.18903,0.657740312,0.73569597,31,false,0.1473216,1.371762322,0.071004426,-0.021412987,27,13,0.65877235,0,27,false,237,311.7301133,1.200480859,259.67105,19.453918,24,123.446577,6.260354981,19.718782,20.12269,23,262.6778506,7.956179637,33.015575,18.713362,1.2386497,0,1.4093285,0.66877174,0.7405567,,,0,,,,NOT_AVAILABLE,159.962507,21.61690662,97.81940908,32.82537526,,,,,,,,,,,,,,,,,
